RSA / Warehouse,Parish,Type,Name,Quantity On Hand,Quantity Allocated To Shipment,Quantity Available,Quantity In Transit,Last Inventory
Camp Minden,Webster,Water,Liters,0,0,0,0,02/05/2026 10:40
Camp Minden,Webster,Blanket,Blanket,960,0,960,0,02/05/2026 10:40
Camp Minden,Webster,Cot,Cot,264,0,264,0,02/05/2026 10:40
Camp Minden,Webster,Tarp,Tarp Roll,0,0,0,0,02/05/2026 10:40
Camp Minden,Webster,Tarp,"Tarp (20x20,20X25,20X30)",0,0,0,0,02/05/2026 10:40
Camp Minden,Webster,Water,.5 Liter Bottles,0,0,0,0,02/05/2026 10:40
Camp Minden,Webster,MRE,MRE,0,0,0,0,02/05/2026 10:40
Camp Minden,Webster,Sand Bags,Sand Bags,206400,0,206400,0,02/05/2026 10:40
Camp Minden,Webster,Sand Bags,Sand Bag_Tie String_14" x 26",0,0,0,0,02/05/2026 10:40
Camp Minden,Webster,Tarp,Tarp (20' x 25'),19195,0,19195,0,02/05/2026 10:40
Camp Minden,Webster,Tarp,Tarp (20' x 30'),0,0,0,0,02/05/2026 10:40
LSA Minden,Webster,MRE,MRE,0,0,0,0,02/04/2026 10:40
RSA - Roseland,Tangipahoa,Tarp,Tarp (20' x 25'),0,0,0,0,01/14/2026 10:24
RSA - Roseland,Tangipahoa,Ice,ICE (7lbs),0,0,0,0,01/14/2026 10:24
RSA - Roseland,Tangipahoa,Tarp,Tarp (20' x 30'),0,0,0,0,01/14/2026 10:24
RSA - Roseland,Tangipahoa,Blanket,Blanket,0,0,0,0,01/14/2026 10:24
RSA - Roseland,Tangipahoa,Cot,Cot,0,0,0,0,01/14/2026 10:24
RSA - Roseland,Tangipahoa,Sand Bags,Sand Bag_Tie String_14" x 26",0,0,0,0,01/14/2026 10:24
RSA - Roseland,Tangipahoa,Tarp,"Tarp (20x20,20X25,20X30)",0,0,0,0,01/14/2026 10:24
RSA - Roseland,Tangipahoa,Tarp,Tarp (20' x 20'),0,0,0,0,01/14/2026 10:24
RSA - Roseland,Tangipahoa,Water,Liters,374400,0,374400,0,01/14/2026 10:24
RSA - Roseland,Tangipahoa,MRE,MRE,0,0,0,0,01/14/2026 10:24
RSA - Roseland,Tangipahoa,Water,.5 Liter Bottles,0,0,0,0,01/14/2026 10:24
RSA - Roseland,Tangipahoa,Ice,Ice (10lb),0,0,0,0,01/14/2026 10:24
RSA - Roseland,Tangipahoa,Water,1.5 Liter Bottles,0,0,0,0,01/14/2026 10:24
RSA - Roseland,Tangipahoa,Tarp,Tarp Roll,0,0,0,0,01/14/2026 10:24
Roseland Warehouse,Tangipahoa,Water,Liters,21600,0,21600,0,01/14/2026 10:23
Roseland Warehouse,Tangipahoa,MRE,MRE,0,0,0,0,01/14/2026 10:23
Roseland Warehouse,Tangipahoa,Tarp,"Tarp (20x20,20X25,20X30)",0,0,0,0,01/14/2026 10:23
Roseland Warehouse,Tangipahoa,Water,.5 Liter Bottles,0,0,0,0,01/14/2026 10:23
Roseland Warehouse,Tangipahoa,Cot,Cot,0,0,0,0,01/14/2026 10:23
Roseland Warehouse,Tangipahoa,Blanket,Blanket,0,0,0,0,01/14/2026 10:23
Roseland Warehouse,Tangipahoa,Sand Bags,Sand Bags,210000,0,210000,0,01/14/2026 10:23
Roseland Warehouse,Tangipahoa,Sand Bags,Sand Bag_Tie String_14" x 26",0,0,0,0,01/14/2026 10:23
Roseland Warehouse,Tangipahoa,Tarp,Tarp (20' x 25'),30376,0,30376,0,01/14/2026 10:23
Roseland Warehouse,Tangipahoa,Tarp,Tarp (20' x 30'),0,0,0,0,01/14/2026 10:23
Camp Villere,St. Tammany,Tarp,Tarp (20' x 25'),22906,0,22906,0,01/14/2026 10:22
Camp Villere,St. Tammany,Tarp,Tarp (20' x 30'),0,0,0,0,01/14/2026 10:22
Camp Villere,St. Tammany,Super Sacks,Super Sacks,30,0,30,0,01/14/2026 10:22
Camp Villere,St. Tammany,Sand Bags,Sand Bag_Tie String_14" x 26",0,0,0,0,01/14/2026 10:22
Camp Villere,St. Tammany,Water,.5 Liter Bottles,0,0,0,0,01/14/2026 10:22
Camp Villere,St. Tammany,MRE,MRE,140544,0,140544,0,01/14/2026 10:22
Camp Villere,St. Tammany,Sand Bags,Sand Bags,0,0,0,0,01/14/2026 10:22
Camp Villere,St. Tammany,Water,Liters,18000,0,18000,0,01/14/2026 10:22
Camp Villere,St. Tammany,Blanket,Blanket,0,0,0,0,01/14/2026 10:22
Camp Villere,St. Tammany,Cot,Cot,0,0,0,0,01/14/2026 10:22
Camp Villere,St. Tammany,Tarp,Tarp Roll,0,0,0,0,01/14/2026 10:22
Camp Villere,St. Tammany,Tarp,"Tarp (20x20,20X25,20X30)",0,0,0,0,01/14/2026 10:22
Camp Beauregard,Rapides,Water,Liters,79200,0,79200,0,01/14/2026 10:19
Camp Beauregard,Rapides,Blanket,Blanket,0,0,0,0,01/14/2026 10:19
Camp Beauregard,Rapides,Cot,Cot,0,0,0,0,01/14/2026 10:19
Camp Beauregard,Rapides,Tarp,Tarp Roll,0,0,0,0,01/14/2026 10:19
Camp Beauregard,Rapides,Tarp,"Tarp (20x20,20X25,20X30)",0,0,0,0,01/14/2026 10:19
Camp Beauregard,Rapides,Water,.5 Liter Bottles,0,0,0,0,01/14/2026 10:19
Camp Beauregard,Rapides,MRE,MRE,0,0,0,0,01/14/2026 10:19
Camp Beauregard,Rapides,Sand Bags,Sand Bags,286000,0,286000,0,01/14/2026 10:19
Camp Beauregard,Rapides,Sand Bags,Sand Bag_Tie String_14" x 26",0,0,0,0,01/14/2026 10:19
Camp Beauregard,Rapides,Tarp,Tarp (20' x 25'),24912,0,24912,0,01/14/2026 10:19
Motor Pool 4 CB,Rapides,Traffic Cones,Traffic Cones,0,0,0,0,11/06/2025 12:03
Motor Pool 4 CB,Rapides,Hand Wash Stations,Hand Wash Station,0,0,0,0,11/06/2025 12:03
Motor Pool 4 CB,Rapides,Port O Let,Port O Let,0,0,0,0,11/06/2025 12:03
Inventory Correction Warehouse DRX 2022,East Baton Rouge,Water,.5 Liter Bottles,0,0,0,0,03/21/2025 11:11
Thibodaux Muni Airport (TTP),Lafourche,Water,Liters,0,0,0,0,09/22/2021 16:00
Thibodaux Muni Airport (TTP),Lafourche,MRE,MRE,0,0,0,0,09/22/2021 16:00
FEMA APACK Return,Tangipahoa,Water,.33L Bottles,0,0,0,0,04/22/2021 07:51
FEMA APACK Return,Tangipahoa,Water,Liters,0,0,0,0,04/22/2021 07:51
FEMA APACK Return,Tangipahoa,MRE,MRE,0,0,0,0,04/22/2021 07:51
FEMA APACK Return,Tangipahoa,Tarp,"Tarp (20x20,20X25,20X30)",0,0,0,0,04/22/2021 07:51
FEMA APACK Return,Tangipahoa,Ice,Ice (10lb),0,0,0,0,04/22/2021 07:51
FEMA APACK Return,Tangipahoa,Water,.5 Liter Bottles,0,0,0,0,04/22/2021 07:51
FEMA APACK Return,Tangipahoa,Water,1.5 Liter Bottles,0,0,0,0,04/22/2021 07:51
FEMA APACK Return,Tangipahoa,Water,.25L Water Bottles,0,0,0,0,04/22/2021 07:51
FEMA APACK Return,Tangipahoa,Ice,Ice (20lb),0,0,0,0,04/22/2021 07:51
Chennault LSA,Calcasieu,Tarp,"Tarp (20x20,20X25,20X30)",0,0,0,0,04/07/2021 09:21
Chennault LSA,Calcasieu,Water,.5 Liter Bottles,0,0,0,0,04/07/2021 09:21
Chennault LSA,Calcasieu,Ice,Ice (10lb),0,0,0,0,04/07/2021 09:21
Chennault LSA,Calcasieu,Ice,Ice (20lb),0,0,0,0,04/07/2021 09:21
Chennault LSA,Calcasieu,Water,1.5 Liter Bottles,0,0,0,0,04/07/2021 09:21
Chennault LSA,Calcasieu,Water,Liters,0,0,0,0,04/07/2021 09:21
Chennault LSA,Calcasieu,MRE,MRE,0,0,0,0,04/07/2021 09:21
RSA - Esler Field,Rapides,MRE,MRE,0,0,0,0,04/07/2021 09:18
RSA - Esler Field,Rapides,Tarp,Tarp Roll,0,0,0,0,04/07/2021 09:18
RSA - Esler Field,Rapides,Water,Liters,0,0,0,0,04/07/2021 09:18
RSA - Esler Field,Rapides,Child Care,Toddler/Infant Kit,0,0,0,0,04/07/2021 09:18
RSA - Esler Field,Rapides,Water,1.5 Liter Bottles,0,0,0,0,04/07/2021 09:18
RSA - Esler Field,Rapides,Ice,Ice (10lb),0,0,0,0,04/07/2021 09:18
RSA - Esler Field,Rapides,Tarp,"Tarp (20x20,20X25,20X30)",0,0,0,0,04/07/2021 09:18
RSA - Esler Field,Rapides,Water,.5 Liter Bottles,0,0,0,0,04/07/2021 09:18
Department of Corrections,East Baton Rouge,MRE,MRE,0,0,0,0,10/07/2020 11:56
Ouachita OEP/Calhoun Research Station,Ouachita,MRE,MRE,0,0,0,0,10/07/2020 11:55
Ouachita OEP/Calhoun Research Station,Ouachita,Water,Liters,0,0,0,0,10/07/2020 11:55
Ouachita OEP/Calhoun Research Station,Ouachita,Water,.5 Liter Bottles,0,0,0,0,10/07/2020 11:55
256th IBCT,Lafayette,Water,Liters,0,0,0,0,09/16/2020 08:43
256th IBCT,Lafayette,MRE,MRE,0,0,0,0,09/16/2020 08:43
256th IBCT,Lafayette,Water,.5 Liter Bottles,0,0,0,0,09/16/2020 08:43
Ragley Trailer Transfer Point,Beauregard,Tarp,Tarp Roll,0,0,0,0,09/12/2020 12:15
Ragley Trailer Transfer Point,Beauregard,Ice,Ice (10lb),0,0,0,0,09/12/2020 12:15
FSA - Esler Field ,Rapides,Water,.5 Liter Bottles,0,0,0,0,09/01/2020 14:53
FSA - Esler Field ,Rapides,Water,Liters,0,0,0,0,09/01/2020 14:53
FSA - Esler Field ,Rapides,Child Care,Toddler/Infant Kit,0,0,0,0,09/01/2020 14:53
FSA - Esler Field ,Rapides,Tarp,Tarp Roll,0,0,0,0,09/01/2020 14:53
FSA - Esler Field ,Rapides,MRE,MRE,0,0,0,0,09/01/2020 14:53
N.O. Levee Board,Orleans,Water,Liters,0,0,0,0,06/03/2020 09:44
N.O. Levee Board,Orleans,Blanket,Blanket,0,0,0,0,06/03/2020 09:44
N.O. Levee Board,Orleans,Cot,Cot,0,0,0,0,06/03/2020 09:44
N.O. Levee Board,Orleans,Tarp,Tarp Roll,0,0,0,0,06/03/2020 09:44
N.O. Levee Board,Orleans,Tarp,"Tarp (20x20,20X25,20X30)",0,0,0,0,06/03/2020 09:44
N.O. Levee Board,Orleans,Water,.5 Liter Bottles,0,0,0,0,06/03/2020 09:44
N.O. Levee Board,Orleans,MRE,MRE,0,0,0,0,06/03/2020 09:44
N.O. Levee Board,Orleans,Sand Bags,Sand Bags,0,0,0,0,06/03/2020 09:44
Independence Blvd. Baton Rouge,East Baton Rouge,Water,.5 Liter Bottles,0,0,0,0,
Independence Blvd. Baton Rouge,East Baton Rouge,Water,Liters,0,0,0,0,
FSA - Roseland,Tangipahoa,Water,Liters,0,0,0,0,
FSA - Roseland,Tangipahoa,MRE,MRE,0,0,0,0,
Lake Charles Armory - 3rd Battalion,Calcasieu,Water,.5 Liter Bottles,0,0,0,0,
Lake Charles Armory - 3rd Battalion,Calcasieu,MRE,MRE,0,0,0,0,
Morial Convention Center (MCC),Orleans,MRE,MRE,0,0,0,0,
Morial Convention Center (MCC),Orleans,Water,.5 Liter Bottles,0,0,0,0,
Morial Convention Center (MCC),Orleans,Water,Liters,0,0,0,0,
FSA - Roseland,Tangipahoa,Water,.5 Liter Bottles,0,0,0,0,
Inventory Correction Warehouse Zeta,Tangipahoa,Tarp,"Tarp (20x20,20X25,20X30)",0,0,0,0,
Inventory Correction Warehouse Delta ,East Baton Rouge,Child Care,Toddler/Infant Kit,0,0,0,0,
FSA England Airpark,Rapides,MRE,MRE,0,0,0,0,
Jackson Barracks - Staging,St. Bernard,Water,Liters,0,0,0,0,
Jackson Barracks - Staging,St. Bernard,Tarp,"Tarp (20x20,20X25,20X30)",0,0,0,0,
Jackson Barracks - Staging,St. Bernard,MRE,MRE,0,0,0,0,
FSA England Airpark,Rapides,Water,Liters,0,0,0,0,
Inventory Correction Warehouse     IDA,Ascension,MRE,MRE,0,0,0,0,
Amelia Heliport TTP,St. Mary,MRE,MRE,0,0,0,0,
Amelia Heliport TTP,St. Mary,Water,Liters,0,0,0,0,
Grand Isle Staging #1,Jefferson,Tarp,"Tarp (20x20,20X25,20X30)",0,0,0,0,
Grand Isle Staging #1,Jefferson,Water,Liters,0,0,0,0,
Grand Isle Staging #1,Jefferson,MRE,MRE,0,0,0,0,
Grand Isle Staging #1,Jefferson,Ice,Ice (10lb),0,0,0,0,
Grand Isle Staging #2,Jefferson,Tarp,"Tarp (20x20,20X25,20X30)",0,0,0,0,
Grand Isle Staging #2,Jefferson,MRE,MRE,0,0,0,0,
Grand Isle Staging #2,Jefferson,Water,Liters,0,0,0,0,
Grand Isle Staging #2,Jefferson,Ice,Ice (10lb),0,0,0,0,
